*_id,title,authorname,rating,voters_count,gender,hometown,books_num,works_count,publisher
59,The Catcher in the Eye (America's Next Top Assistant #1),Lotta Smith,3.74,19,female,,10,36,
60,"The Electric Church (Avery Cates, #1)",Jeff Somers,3.75,2875,male,"Jersey City, NJ",10,52,Orbit
61,"La fortaleza al borde del tiempo. (La edad del plomo,#1)",Edward T. Riker,3.5,4,,,8,8,Ediciones Aguere y Ediciones Idea
62,"Linger (Masked Emotions, #1)",V.E. Campudoni,3.75,154,,Astoria,7,7,Beau To Beau
63,West Of Independence,Matthew Deane,3.85,26,male,,1,1,Matthew Deane
64,Gunslinger Girl,Lyndsay Ely,3.68,2428,female,,2,2,Jimmy Patterson
65,"Pride Mates (Shifters Unbound, #1)",Jennifer Ashley,3.91,16043,female,,10,134,Leisure Books
66,John Gabriel Borkman,Henrik Ibsen,3.73,525,male,Skien,10,431,BiblioLife
67,"Darkest Day (The 19th Year, #3)",Emi Gayle,4.04,135,female,,8,8,J. Taylor Publishing
68,The Book of Occult,Simon W. Clark,3.92,221,male,,2,2,Itoh Press
69,The New Norm,Nakedi Mbabama,4,1,,,1,1,Nakedi Mbabama
70,The Golden Age (Golden Age #1),John C. Wright,4.07,2956,male,,10,105,Tor Books
71,Wake the Undertaker,Joe Clifford,4.1,42,male,"Lamentation Mountain, CT",10,39,Snubnose Press
72,"Kiss Me, Judas",Will Christopher Baer,3.73,4532,male,,6,6,MacAdam/Cage Publishing
73,"The King of Attolia (The Queen's Thief, #3)",Megan Whalen Turner,4.37,31391,female,,10,15,Greenwillow Books
74,"Nefertiti's Heart (Artifact Hunters, #1)",A.W. Exley,3.83,4547,female,,10,29,Curiosity Quills Press
75,"Fever: Many are Born, Few are Reborn (Wolf Sirens, #2)",Tina  Smith,3.95,96,female,Bega Valley,7,7,Smashwords
76,"Whatever Tomorrow Brings (The Californians, #1)",Lori Wick,4.1,3109,female,"Santa Rosa, CA",10,62,"Harvest House Publishers, Inc."
77,"Out of Time (Time Travelers, #2)",Caroline B. Cooney,3.88,2837,female,"Geneva, New York",10,112,Delacorte Books for Young Readers
78,Diary of a Groupie,Omar Tyree,3.88,1245,,,10,70,Simon  Schuster
79,"Jubal Sackett (The Sacketts, #4)",Louis L'Amour,4.19,6379,male,"Jamestown, North Dakota",10,535,Bantam
80,"Concrete Savior (Dark Redemption, #2)",Yvonne Navarro,3.71,236,female,,10,102,
81,"Fergus Crane (Far-Flung Adventures, #1)",Paul Stewart,3.88,2172,male,,10,155,Random House
82,The Happy Hypochondriac,Kat Spitzer,4.18,22,female,,4,4,Apprentice House
83,The Metalmark Contract,David  Batchelor,3.38,13,male,"Rocky Mount, NC",1,1,
84,Coal (Everleaf #1),Constance Burris,3.83,265,female,Oklahoma City,10,16,Createspace Independent Publishing Platform
85,Orange Petals in a Storm,Niamh Clune,4.14,50,female,,10,13,
86,Welman tytöt,Anu Holopainen,3.52,166,female,Helsinki,10,21,Karisto
87,"Crave (Fallen Angels, #2)",J.R. Ward,4.1,26773,,,10,122,Piatkus Books
88,Death Knocks,Miranda Hardy,4.15,61,female,West Palm Beach,10,29,Quixotic Publishing
89,"Best Laid Plans (The Mercenaries, #1)",Stylo Fantome,4.12,3603,female,,10,25,Battleaxe Productions
90,The Dragons' Chosen,Gwen Dandridge,4.16,73,female,,4,4,Hickory Tree Publishing
91,"The Lost Gate (Mither Mages, #1)",Orson Scott Card,3.82,25475,male,"Richland, Washington",10,588,Tor Books
92,My Big Nose and Other Natural Disasters,Sydney Salter,3.57,654,female,Tucson,5,5,HMH Books for Young Readers
93,Dark Curse (Deamhan Chronicles #2),Isaiyan Morrison,4.38,52,,Minneapolis,10,22,Isaiyan Morrison
94,"The Noble Fool (The Hungering Saga, #1)",Heath Pfaff,3.97,438,male,,10,15,
95,"Cape Refuge (Cape Refuge, #1)",Terri Blackstock,4.14,8441,female,"Belleville, Illinois",10,86,Zondervan
96,"Tower of Thunder (Tennis Shoes, #9)",Chris Heimerdinger,4.24,3312,male,"Bloomington, Indiana",10,37,
97,Hell House,Richard Matheson,3.79,35080,male,"Allendale, New Jersey",10,486,Severn House Publishers
98,"Dark Fire (The Last Dragon Chronicles, #5)",Chris d'Lacey,4.11,7401,male,"Valetta, Malta",10,52,Orchard Books
99,The Faraway Lurs,Harry Behn,4.15,95,,,10,14,Philomel Books
100,"Life Before Legend (Legend, #0.5)",Marie Lu,4.01,16514,female,Wuxi,10,42,Putnam Juvenile
